caseyear,state,st_case,statename,ve_total,ve_forms,pvh_invl,peds,pernotmvit,permvit,persons,county,countyname,city,cityname,day,month,monthname,year,day_week,day_weekname,hour,hourname,minute,minutename,nhs,nhsname,rur_urb,rur_urbname,func_sys,func_sysname,rd_owner,rd_ownername,route,routename,tway_id,tway_id2,milept,mileptname,latitude,latitudename,longitud,longitudname,sp_jur,sp_jurname,harm_ev,harm_evname,man_coll,man_collname,reljct1,reljct1name,reljct2,reljct2name,typ_int,typ_intname,wrk_zone,wrk_zonename,road_fnc,road_fncname,rel_road,rel_roadname,lgt_cond,lgt_condname,weather1,weather1name,weather2,weather2name,weather,weathername,sch_bus,sch_busname,rail,railname,not_hour,not_hourname,not_min,not_minname,arr_hour,arr_hourname,arr_min,arr_minname,hosp_hr,hosp_hrname,hosp_mn,hosp_mnname,cf1,cf1name,cf2,cf2name,cf3,cf3name,fatals,drunk_dr
2014,1,10001,Alabama,1,1,0,0,0,2,2,71,JACKSON (71),0,NOT APPLICABLE,1,1,January,2014,4,Wednesday,1,1:00am-1:59am,15,15,0,This section IS NOT on the NHS,,,,,,,4,County Road,CR-67,,0,None,34.62372222,34.62372222,-85.981408330,-85.981408330,0,No Special Jurisdiction,17,Boulder,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,5,Rural-Minor Collector,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,1,1:00am-1:59am,35,35,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
2014,1,10002,Alabama,1,1,0,0,0,1,1,59,FRANKLIN (59),0,NOT APPLICABLE,1,1,January,2014,4,Wednesday,13,1:00pm-1:59pm,30,30,0,This section IS NOT on the NHS,,,,,,,4,County Road,CR-26,,0,None,34.39742778,34.39742778,-87.772116670,-87.772116670,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,6,Rural-Local Road or Street,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,13,1:00pm-1:59pm,50,50,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
2014,1,10003,Alabama,2,2,0,0,0,7,7,125,TUSCALOOSA (125),3050,TUSCALOOSA,1,1,January,2014,4,Wednesday,3,3:00am-3:59am,7,7,1,This section IS ON the NHS,,,,,,,2,U.S. Highway,US-SR 6,VERTERAN'S MEMORIAL PKWY,0,None,33.19717222,33.19717222,-87.525911110,-87.525911110,0,No Special Jurisdiction,12,"Motor Vehicle In-Transport ",6,"Angle ",0,No,2,Intersection,2,Four-Way Intersection,0,None,13,Urban-Other Principal Arterial,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,3,3:00am-3:59am,10,10,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,2,0
2014,1,10004,Alabama,3,3,0,0,0,5,5,121,TALLADEGA (121),2275,OAK GROVE,2,1,January,2014,5,Thursday,9,9:00am-9:59am,0,0,1,This section IS ON the NHS,,,,,,,2,U.S. Highway,US-SR 38,,391,391,33.19638333,33.19638333,-86.307830560,-86.307830560,0,No Special Jurisdiction,12,"Motor Vehicle In-Transport ",2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,13,Urban-Other Principal Arterial,1,On Roadway,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,9,9:00am-9:59am,15,15,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2014,1,10005,Alabama,1,1,0,0,0,1,1,43,CULLMAN (43),0,NOT APPLICABLE,2,1,January,2014,5,Thursday,16,4:00pm-4:59pm,30,30,0,This section IS NOT on the NHS,,,,,,,4,County Road,CR-719,,0,None,34.18018889,34.18018889,-86.784591670,-86.784591670,0,No Special Jurisdiction,35,Embankment,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,5,Rural-Minor Collector,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,12,12:00pm-12:59pm,45,45,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2014,1,10006,Alabama,1,1,0,0,0,1,1,35,CONECUH (35),0,NOT APPLICABLE,3,1,January,2014,6,Friday,2,2:00am-2:59am,0,0,0,This section IS NOT on the NHS,,,,,,,4,County Road,CR-23,,0,None,31.42733056,31.42733056,-87.386827780,-87.386827780,0,No Special Jurisdiction,32,Culvert,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,Rural-Major Collector,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,6,6:00am-6:59am,15,15,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2014,1,10007,Alabama,3,2,1,0,0,2,2,97,MOBILE (97),2100,MOBILE,3,1,January,2014,6,Friday,18,6:00pm-6:59pm,40,40,0,This section IS NOT on the NHS,,,,,,,6,Local Street - Municipality,DUVAL ST,,0,None,30.66011389,30.66011389,-88.070230560,-88.070230560,0,No Special Jurisdiction,12,"Motor Vehicle In-Transport ",7,Sideswipe - Same Direction,0,No,1,Non-Junction,1,Not an Intersection,0,None,16,Urban-Local Road or Street,1,On Roadway,3,Dark - Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,18,6:00pm-6:59pm,48,48,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2014,1,10008,Alabama,2,2,0,0,0,4,4,13,BUTLER (13),0,NOT APPLICABLE,4,1,January,2014,7,Saturday,6,6:00am-6:59am,20,20,1,This section IS ON the NHS,,,,,,,1,Interstate,I-65,,1368,1368,31.93017778,31.93017778,-86.571338890,-86.571338890,0,No Special Jurisdiction,12,"Motor Vehicle In-Transport ",1,"Front-to-Rear ",0,No,1,Non-Junction,1,Not an Intersection,0,None,1,Rural-Principal Arterial-Interstate,1,On Roadway,4,Dawn,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,6,6:00am-6:59am,30,30,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2014,1,10009,Alabama,3,3,0,0,0,5,5,127,WALKER (127),920,DORA,4,1,January,2014,7,Saturday,15,3:00pm-3:59pm,39,39,1,This section IS ON the NHS,,,,,,,2,U.S. Highway,US-SR 78,,1770,1770,33.75402778,33.75402778,-87.061075000,-87.061075000,0,No Special Jurisdiction,24,Guardrail Face,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,2,Rural-Principal Arterial-Other,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,15,3:00pm-3:59pm,51,51,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2014,1,10010,Alabama,2,2,0,0,0,6,6,101,MONTGOMERY (101),2130,MONTGOMERY,6,1,January,2014,2,Monday,17,5:00pm-5:59pm,56,56,0,This section IS NOT on the NHS,,,,,,,6,Local Street - Municipality,ALABAMA RIVER PARKWAY,,0,None,32.42774167,32.42774167,-86.269652780,-86.269652780,0,No Special Jurisdiction,12,"Motor Vehicle In-Transport ",2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,14,Urban-Minor Arterial,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,18,6:00pm-6:59pm,2,2,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,2,0
